,flights,hotel,grocery,gas,dining,other,flat_cash_back,rotating,name,req_credit,application_link,card_type,annual_fee
635,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Stage Credit Card,,,Unknown,0.0
636,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Stand Up To Cancer® Credit Card,,,Unknown,0.0
637,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Staples® Business More Account,,,Unknown,0.0
638,0.0,0.0,0.0,0.0,0.0,0.0,,False,Starbucks Rewards™ Visa® Card,,,Visa,0.0
639,0.0,0.0,0.0,0.0,0.0,0.0,,False,State Farm Bank® Business Visa® Card,,,Visa,0.0
640,0.0,0.0,0.0,0.0,0.0,0.0,False,False,State Farm® Good Neighbor Visa® Credit Card,,,Visa,0.0
641,0.0,0.0,0.0,0.0,0.0,0.0,False,False,State Farm® Rewards Visa® Credit Card,,,Visa,0.0
642,0.0,0.0,0.0,0.0,0.0,0.0,,False,State Farm® Student Visa® Credit Card,,,Visa,0.0
643,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Stein Mart® Style Credit Card,,,Unknown,0.0
644,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Stein Mart® Style Platinum MasterCard®,,,MasterCard,0.0
645,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Stephen F. Austin Alumni MasterCard® Rewards Card,,,MasterCard,0.0
646,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Steuben Trust Cash Rewards American Express® Card,,,American Express,0.0
647,0.0,0.0,0.0,0.0,0.0,0.0,,False,Steuben Trust College Real Rewards Visa® Card,,,Visa,0.0
648,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Steuben Trust Premier Rewards American Express® Card,,,American Express,0.0
649,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Steuben Trust Visa® Business Card,,,Visa,0.0
650,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Steuben Trust Visa® Business Cash Card,,,Visa,0.0
651,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Steuben Trust Visa® Business Real Rewards Card,,,Visa,0.0
652,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Steuben Trust Visa® Business Rewards PLUS Card,,,Visa,0.0
653,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Steuben Trust Visa® Platinum Card,,,Visa,0.0
654,1.0,1.0,1.0,3.0,1.0,1.0,False,False,SunTrust Business Rewards Credit Card,,,Unknown,0.0
655,1.0,1.0,5.0,5.0,1.0,1.0,False,False,SunTrust Cash Rewards Card,,,Unknown,0.0
656,1.0,1.0,1.0,1.0,1.0,1.0,False,False,SunTrust Secured Credit Card with Cash Rewards,,,Unknown,0.0
657,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Synovus Business Travel Rewards Visa® Credit Card,,,Visa,0.0
658,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Synovus Business Visa® Credit Card,,,Visa,0.0
659,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Synovus Cash Rewards Visa® Credit Card,,,Visa,0.0
660,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Synovus Classic Visa® Credit Card,,,Visa,0.0
661,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Synovus Rewards Business Visa® Credit Card,,,Visa,0.0
662,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Synovus Rewards Visa® Credit Card,,,Visa,0.0
663,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Synovus Travel Rewards Visa® Credit Card,,,Visa,0.0
664,1.0,1.0,2.0,1.0,1.0,1.0,False,False,TD Cash Visa® Credit Card,"Excellent, Good",https://clicks.surehits.com/ListingDisplay/Click/?I=YmJjZTgxOWYtODQ3YS00NTcwLThiZjktYzg1OWQ1M2U4MDQz&U=aHR0cHM6Ly9jbGljay5saW5rc3luZXJneS5jb20vZnMtYmluL2NsaWNrP2lkPWVsQ3lhRFlLb3p3Jm9mZmVyaWQ9NjkxNzYwLjcmdHlwZT0zJnN1YmlkPTAmdTE9JGNsaWNra2V5JA%3d%3d&SI=YzJmYTJlMTYtZTUzMi00YjcxLTkwNDktYzU0NTkyYjhmNmYw&SDT=NjM3MzA5NDM2MTY3ODg3NzMy&T=MQ%3d%3d&BM=MQ%3d%3d&ZZ=1595346817,Visa,0.0
665,12.0,12.0,1.0,1.0,1.0,12.0,False,False,The Hilton Honors American Express Business Card,"Good, Excellent",https://clicks.surehits.com/ListingDisplay/Click/?I=YmY1MGZmNWQtOTAxNi00YWJkLWJiNGQtYzRlMTYxZmU2ZjUz&U=aHR0cHM6Ly9nb3RvLmFtZXJpY2FuZXhwcmVzcy5jb206NDQzL2MvMTE5NTQxMi80MjA4OTgvNzQxMT9wcm9kc2t1PTExMzEmdT1odHRwcyUzYSUyZiUyZnd3dy5hbWVyaWNhbmV4cHJlc3MuY29tJTJmdXMlMmZjcmVkaXQtY2FyZHMlMmZidXNpbmVzcyUyZmJ1c2luZXNzLWNyZWRpdC1jYXJkcyUyZmhpbHRvbi1ob25vcnMtYW1lcmljYW4tZXhwcmVzcy1idXNpbmVzcy1jcmVkaXQtY2FyZC1hbWV4JTJmNDI3MzIlM2ZlZXAlM2Q0MjczMiZzaGFyZWRpZD1TQlMyMDAxMSZTdWJJRDE9JGNsaWNra2V5JCZTdWJJRDI9c2l0ZXM%3d&SI=NTk5ZDk0YzMtYzliZC00NjdmLThjNGMtYzc1YjRiMTg2OGJl&SDT=NjM3MzA5NDM2MTcyNDI1MTk1&T=MQ%3d%3d&BM=MQ%3d%3d&ZZ=1595346817,American Express,95.0
666,1.0,1.0,1.0,1.0,1.0,2.0,False,False,The World Of Hyatt Credit Card,"Excellent, Good",https://clicks.surehits.com/ListingDisplay/Click/?I=ODk3OWI1OTEtYTJlNS00YzdiLWJhMWYtNjk3ODM4OTg2NmY4&U=aHR0cHM6Ly9jbGljay5saW5rc3luZXJneS5jb20vbGluaz9pZD1LQjRxb1NUS2tDOCZvZmZlcmlkPTc1NzgxOC4zMTQzNSZ0eXBlPTE1Jm11cmw9aHR0cHMlM2ElMmYlMmZjcmVkaXRjYXJkcy5jaGFzZS5jb20lMmZ3b3JsZG9maHlhdHQlMmZuYWVwJTNmQ0VMTCUzZDZIOFgmdTE9JGNsaWNra2V5JA%3d%3d&SI=MmY0YjljMDItMTFjOC00ZGExLWIyMDgtYWEwYWNlNjlhZWE4&SDT=NjM3MzA5NDM2MTc3MTY1MDk4&T=MQ%3d%3d&BM=MQ%3d%3d&ZZ=1595346818,Unknown,0.0
667,0.0,0.0,0.0,0.0,0.0,0.0,,False,Total VISA® Unsecured Credit Card,"Fair Credit, Poor Credit, Bad Credit, Unsecured Credit",https://clicks.surehits.com/ListingDisplay/Click/?I=YWYxOGE3MTMtNmVkMy00MDc3LWE2MGItZjMyNDgzY2Y3NGM0&U=aHR0cHM6Ly9jdC5idXlyaWdodC5jb20vcmQvci5waHA%2fc2lkPTEzJnB1Yj02NTAxNjEmYzE9Q1ImYzI9JGNsaWNra2V5JCZjMz0%3d&SI=OWJmYmY4NGUtZTk2OC00MDU5LThjZmUtNGRhY2M3NWZiNTA1&SDT=NjM3MzA5NDM2MTg0NDg2OTA2&T=MQ%3d%3d&BM=MQ%3d%3d&ZZ=1595346818,Visa,0.0
668,0.0,0.0,0.0,0.0,0.0,0.0,False,False,TCF Bank Business Edition® Secured Visa® Card,,,Visa,0.0
669,0.0,0.0,0.0,0.0,0.0,0.0,False,False,TCF Bank Business Edition® Visa® Card,,,Visa,0.0
670,1.5,1.5,1.5,1.5,1.5,1.5,True,False,TCF Bank Business Edition® Visa® Card with Reward Simplicity,,,Visa,0.0
671,1.5,1.5,1.5,1.5,1.5,1.5,True,False,TCF Bank Maximum Rewards® Visa® Card,,,Visa,0.0
672,0.0,0.0,0.0,0.0,0.0,0.0,False,False,TCF Bank Platinum Edition® Visa® Card,,,Visa,0.0
673,0.0,0.0,0.0,0.0,0.0,0.0,False,False,TCF Bank Secured Visa® Card,,,Visa,0.0
674,1.5,1.5,1.5,1.5,1.5,1.5,True,False,TD Ameritrade® Client Rewards Credit Card,,,Unknown,0.0
675,1.0,1.0,1.0,2.0,1.0,3.0,False,False,TD Business Solutions Visa® Credit Card,,,Visa,0.0
676,0.0,0.0,0.0,0.0,0.0,0.0,False,False,TD First Class℠ Visa Signature® Credit Card,,,Visa,0.0
677,0.0,0.0,0.0,0.0,0.0,0.0,False,False,TJ Maxx® TJX Rewards® Credit Card,,,Unknown,0.0
678,0.0,0.0,0.0,0.0,0.0,0.0,False,False,TJX Rewards® Credit Card,,,Unknown,0.0
679,0.0,0.0,0.0,0.0,0.0,0.0,False,False,TJX Rewards® Platinum MasterCard®,,,MasterCard,0.0
680,1.0,1.0,1.0,2.0,1.0,1.0,False,False,TNA Tennessee Nurses Association Visa® Rewards,,,Visa,0.0
681,1.0,1.0,2.0,2.0,1.0,1.0,False,False,TRIO® Preferred Credit Card,,,Unknown,0.0
682,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Talbots Classic Awards Credit Card,,,Unknown,0.0
683,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Tampa Bay Buccaneers NFL Extra Points Visa Signature Card,,,Visa,0.0
684,0.0,0.0,0.0,0.0,0.0,0.0,,False,Tampa Bay Rays® BankAmericard Cash Rewards MasterCard®,,,MasterCard,0.0
685,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Taste of Home MasterCard® with Rewards,,,MasterCard,0.0
686,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Teachers FCU Business Credit Card,,,Unknown,0.0
687,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Tennessee Titans NFL Extra Points Visa Signature Card,,,Visa,0.0
688,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Tennis Express Rewards Visa® Credit Card,,,Visa,0.0
689,1.0,1.0,2.0,3.0,1.0,1.0,False,False,Texas Capital Bank Cash Rewards American Express® Card,,,American Express,0.0
690,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Texas Capital Bank Premier Rewards American Express® Card,,,American Express,0.0
691,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Texas Capital Bank Secured Visa® Card,,,Visa,0.0
692,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Texas Capital Bank Visa Signature® College Real Rewards Card,,,Visa,0.0
693,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Texas Capital Bank Visa Signature® Real Rewards Card,,,Visa,0.0
694,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Texas Capital Bank Visa® Business Card,,,Visa,0.0
695,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Texas Capital Bank Visa® Business Cash Card,,,Visa,0.0
696,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Texas Capital Bank Visa® Business Real Rewards Card,,,Visa,0.0
697,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Texas Capital Bank Visa® Business Rewards PLUS Card,,,Visa,0.0
698,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Texas Capital Bank Visa® Platinum Card,,,Visa,0.0
699,1.0,1.0,1.0,1.0,1.0,1.0,False,False,Texas Rangers® BankAmericard Cash Rewards™ MasterCard®,,,MasterCard,0.0
700,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Texas Tech MasterCard® with Rewards,,,MasterCard,0.0
701,0.0,0.0,0.0,0.0,0.0,0.0,,False,The Brooks Brothers Card,,,Unknown,0.0
702,0.0,0.0,0.0,0.0,0.0,0.0,False,False,The Brooks Brothers Platinum MasterCard®,,,MasterCard,0.0
703,0.0,0.0,0.0,0.0,0.0,0.0,False,False,The Container Store® Credit Card,,,Unknown,0.0
704,0.0,0.0,0.0,0.0,0.0,0.0,,False,The Linux Foundation Visa® Card,,,Visa,0.0
705,1.0,1.0,2.0,1.0,1.0,1.0,False,False,Tioga State Bank Cash Rewards American Express® Card,,,American Express,0.0
706,0.0,0.0,0.0,0.0,0.0,0.0,,False,Tioga State Bank College Real Rewards Visa® Card,,,Visa,0.0
707,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Tioga State Bank Premier Rewards American Express® Card,,,American Express,0.0
708,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Tioga State Bank Secured Visa® Card,,,Visa,0.0
709,0.0,0.0,0.0,0.0,0.0,0.0,,False,Tioga State Bank Visa Signature® Real Rewards Card,,,Visa,0.0
710,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Tioga State Bank Visa® Business Card,,,Visa,0.0
711,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Tioga State Bank Visa® Business Cash Card,,,Visa,0.0
712,0.0,0.0,0.0,0.0,0.0,0.0,,False,Tioga State Bank Visa® Business Real Rewards Card,,,Visa,0.0
713,1.5,1.5,1.5,1.5,1.5,1.5,True,False,Tioga State Bank Visa® Business Rewards PLUS Card,,,Visa,0.0
714,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Tioga State Bank Visa® Platinum Card,,,Visa,0.0
715,1.0,1.0,2.0,1.0,1.0,1.0,False,False,Tompkins Trust Cash Rewards American Express® Card,,,American Express,0.0
716,0.0,0.0,0.0,0.0,0.0,0.0,,False,Unknown,,,Unknown,0.0
717,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Tompkins Trust Premier Rewards American Express® Card,,,American Express,0.0
718,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Tompkins Trust Secured Visa® Card,,,Visa,0.0
719,0.0,0.0,0.0,0.0,0.0,0.0,,False,Tompkins Trust Visa Signature® Real Rewards Card,,,Visa,0.0
720,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Tompkins Trust Visa® Business Card,,,Visa,0.0
721,1.0,1.0,1.0,2.0,1.0,1.0,False,False,Tompkins Trust Visa® Business Cash Card,,,Visa,0.0
722,0.0,0.0,0.0,0.0,0.0,0.0,,False,Tompkins Trust Visa® Business Real Rewards Card,,,Visa,0.0
723,0.0,0.0,0.0,0.0,0.0,0.0,,False,Tompkins Trust Visa® Business Rewards PLUS Card,,,Visa,0.0
724,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Tompkins Trust Visa® Platinum Card,,,Visa,0.0
725,0.0,0.0,0.0,0.0,0.0,0.0,,False,Toronto Blue Jays® BankAmericard Cash Rewards MasterCard®,,,MasterCard,0.0
726,0.0,0.0,0.0,0.0,0.0,0.0,,False,Torrid Insider Credit Card,,,Unknown,0.0
727,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Toyota Rewards Visa Signature® Card,,,Visa,0.0
728,0.0,0.0,0.0,0.0,0.0,0.0,False,False,Trek Credit Card,,,Unknown,0.0
