name,flights,hotel,grocery,gas,dining,other,rotating,flat_cash_back,req_credit,annual_fee,card_type,application_link,review_link,annual_bonus,image_url,converted_name
Discover it® Miles,1.5,1.5,1.5,1.5,1.5,1.5,FALSE,TRUE,690,0.0,Discover,https://www.nerdwallet.com/redirect/credit-cards/6052?clickHeader_category=Credit%20Card&clickHeader_productId=6052&name=Discover-it-Miles&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Travel%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=77db4a77-1bab-475f-93ba-c44302b7379f,https://www.nerdwallet.com/reviews/credit-cards/discover-it-miles,0.0,//www.nerdwallet.com/c1/images/6052_0d535cb6c9ad0b95588ee34707af3507_142x225_L.jpg,Discover-it-Miles
Orbitz Rewards® Visa® Card,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,0.0,Visa,,https://www.nerdwallet.com/reviews/credit-cards/orbitz-rewards,100.0,//www.nerdwallet.com/c1/images/14000_aef62eec7be779e95744759f2f503721_144x225_L.jpg,Orbitz-Rewards-Visa-Card
Wells Fargo Propel American Express® card,3.0,3.0,1.0,3.0,1.0,1.0,FALSE,FALSE,690,0.0,American Express,,https://www.nerdwallet.com/reviews/credit-cards/wells-fargo-propel,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Wells-Fargo-Propel-American-Express-card
Amex EveryDay® Credit Card,0.0,0.0,2.0,0.0,0.0,0.0,FALSE,FALSE,690,0.0,Unknown,,https://www.nerdwallet.com/reviews/credit-cards/amex-everyday,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Amex-EveryDay-Credit-Card
BankAmericard® credit card,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,0.0,Unknown,,https://www.nerdwallet.com/reviews/credit-cards/bankamericard,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,BankAmericard-credit-card
Citi Simplicity® Card - No Late Fees Ever,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,0.0,Unknown,,https://www.nerdwallet.com/reviews/credit-cards/citi-simplicity,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Citi-Simplicity-Card---No-Late-Fees-Ever
HSBC Gold Mastercard® credit card,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,0.0,MasterCard,,https://www.nerdwallet.com/reviews/credit-cards/hsbc-gold,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,HSBC-Gold-Mastercard-credit-card
U.S. Bank Visa® Platinum Card,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,0.0,Visa,,https://www.nerdwallet.com/reviews/credit-cards/us-bank-platinum,600.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,U.S.-Bank-Visa-Platinum-Card
Wells Fargo Platinum card,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,690,0.0,Unknown,,https://www.nerdwallet.com/reviews/credit-cards/wells-fargo-platinum,0.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Wells-Fargo-Platinum-card
Alaska Airlines Visa Signature® credit card,3.0,1.0,1.0,1.0,1.0,1.0,FALSE,FALSE,690,75.0,Visa,,https://www.nerdwallet.com/reviews/credit-cards/alaska-airlines-credit-card,100.0,//cdn.nerdwallet.com/img/cc/CC_placeholder.svg,Alaska-Airlines-Visa-Signature-credit-card
American Airlines AAdvantage MileUp℠ Card,2.0,1.0,2.0,1.0,1.0,1.0,FALSE,FALSE,720,0.0,Unknown,https://www.nerdwallet.com/redirect/credit-cards/65540?clickHeader_category=Credit%20Card&clickHeader_productId=65540&name=Citibank-American-Airlines-AAdvantage-MileUp&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=209901ce-e751-453a-a282-c31952aa8c5e,https://www.nerdwallet.com/reviews/credit-cards/citi-aadvantage-mileup,0.0,//www.nerdwallet.com/c1/images/65540_1906a437cf191a6fbecf94e77643a162_141x225_L.jpg,American-Airlines-AAdvantage-MileUp-Card
Citi® / AAdvantage® Platinum Select® World Elite™ Mastercard®,2.0,1.0,1.0,2.0,2.0,1.0,FALSE,FALSE,720,99.0,MasterCard,https://www.nerdwallet.com/redirect/credit-cards/4001?clickHeader_category=Credit%20Card&clickHeader_productId=4001&name=Citibank-Platinum-Select&trk_channel=web&trk_element=button&trk_location=MarketplaceApplyNow&trk_nldt=Decide&trk_pagetype=review&trk_sectionCategory=MarketplaceProductCard__cta&trk_topic=Airline%20Credit%20Cards&trk_vertical=Credit%20Cards&finish_type=external_application&has_prequalified=false&impression_id=&link_type=APPLY_NOW_BUTTON&monetizable=&page_number=&product_display_driver=&product_position=1&section_name=&section_position=&header_pageViewId=fefeff13-9113-4b53-bcd7-c805a52406cf,https://www.nerdwallet.com/reviews/credit-cards/citi-aadvantage-platinum,0.0,//www.nerdwallet.com/c1/images/4001_48a6ea7c1637a98ded0e0d99452807db_141x225_L.jpg,Citi--AAdvantage-Platinum-Select-World-Elite-Mastercard
